identifier	file	sum_stat	strand_pair	description
NIP_AM1_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_AM1.cpm.bw	mean	0	NIP_AM1_ATAC
NIP_AM2_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_AM2.cpm.bw	mean	1	NIP_AM2_ATAC
NIP_Callus_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Callus.cpm.bw	mean	2	NIP_Callus_ATAC
NIP_DBuds_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_DBuds.cpm.bw	mean	3	NIP_DBuds_ATAC
NIP_Leaf_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Leaf.cpm.bw	mean	4	NIP_Leaf_ATAC
NIP_Lemma_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Lemma.cpm.bw	mean	5	NIP_Lemma_ATAC
NIP_Palea_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Palea.cpm.bw	mean	6	NIP_Palea_ATAC
NIP_Panicle1_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Panicle1.cpm.bw	mean	7	NIP_Panicle1_ATAC
NIP_Panicle2_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Panicle2.cpm.bw	mean	8	NIP_Panicle2_ATAC
NIP_Panicle3_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Panicle3.cpm.bw	mean	9	NIP_Panicle3_ATAC
NIP_Panicle4_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Panicle4.cpm.bw	mean	10	NIP_Panicle4_ATAC
NIP_Pistil_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Pistil.cpm.bw	mean	11	NIP_Pistil_ATAC
NIP_Plumule_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Plumule.cpm.bw	mean	12	NIP_Plumule_ATAC
NIP_PNN_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_PNN.cpm.bw	mean	13	NIP_PNN_ATAC
NIP_Radicle_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Radicle.cpm.bw	mean	14	NIP_Radicle_ATAC
NIP_Root_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Root.cpm.bw	mean	15	NIP_Root_ATAC
NIP_SAM1_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_SAM1.cpm.bw	mean	16	NIP_SAM1_ATAC
NIP_SAM2_ATAC	/public/home/cszx_huangxh/qiujie/Tproject_DeepLearning/RiceReg.ChromatinData_Tracks_Learn/Tracks_dataset/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_SAM2.cpm.bw	mean	17	NIP_SAM2_ATAC
