index	identifier	file	sum_stat	strand_pair	description
0	NIP_AM1_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_AM1.cpm.bw	mean	0	NIP_AM1_ATAC
1	NIP_AM2_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_AM2.cpm.bw	mean	1	NIP_AM2_ATAC
2	NIP_Callus_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Callus.cpm.bw	mean	2	NIP_Callus_ATAC
3	NIP_DBuds_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_DBuds.cpm.bw	mean	3	NIP_DBuds_ATAC
4	NIP_Leaf_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Leaf.cpm.bw	mean	4	NIP_Leaf_ATAC
5	NIP_Lemma_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Lemma.cpm.bw	mean	5	NIP_Lemma_ATAC
6	NIP_Palea_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Palea.cpm.bw	mean	6	NIP_Palea_ATAC
7	NIP_Panicle1_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Panicle1.cpm.bw	mean	7	NIP_Panicle1_ATAC
8	NIP_Panicle2_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Panicle2.cpm.bw	mean	8	NIP_Panicle2_ATAC
9	NIP_Panicle3_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Panicle3.cpm.bw	mean	9	NIP_Panicle3_ATAC
10	NIP_Panicle4_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Panicle4.cpm.bw	mean	10	NIP_Panicle4_ATAC
11	NIP_Pistil_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Pistil.cpm.bw	mean	11	NIP_Pistil_ATAC
12	NIP_Plumule_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Plumule.cpm.bw	mean	12	NIP_Plumule_ATAC
13	NIP_PNN_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_PNN.cpm.bw	mean	13	NIP_PNN_ATAC
14	NIP_Radicle_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Radicle.cpm.bw	mean	14	NIP_Radicle_ATAC
15	NIP_Root_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Root.cpm.bw	mean	15	NIP_Root_ATAC
16	NIP_SAM1_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_SAM1.cpm.bw	mean	16	NIP_SAM1_ATAC
17	NIP_SAM2_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_SAM2.cpm.bw	mean	17	NIP_SAM2_ATAC
18	NIP_Seed1_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Seed1.cpm.bw	mean	18	NIP_Seed1_ATAC
19	NIP_Seed2_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Seed2.cpm.bw	mean	19	NIP_Seed2_ATAC
20	NIP_Seed3_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Seed3.cpm.bw	mean	20	NIP_Seed3_ATAC
21	NIP_Sheath_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Sheath.cpm.bw	mean	21	NIP_Sheath_ATAC
22	NIP_Stamen_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Stamen.cpm.bw	mean	22	NIP_Stamen_ATAC
23	NIP_Stem_ATAC	106tracks_bw/ATAC_seq_CART_ChenDJ/Nip_ATAC/NIP_Stem.cpm.bw	mean	23	NIP_Stem_ATAC
24	Nip_mature_leaf_H3K27ac	106tracks_bw/HistoneMarks/Nip_mature_leaf_H3K27ac_Rep1.rpgc.bw	mean	24	Nip_mature_leaf_H3K27ac
25	Nip_mature_leaf_H3K27me3	106tracks_bw/HistoneMarks/Nip_mature_leaf_H3K27me3_Rep1.rpgc.bw	mean	25	Nip_mature_leaf_H3K27me3
26	Nip_mature_leaf_H3K4me1	106tracks_bw/HistoneMarks/Nip_mature_leaf_H3K4me1_Rep1.rpgc.bw	mean	26	Nip_mature_leaf_H3K4me1
27	Nip_mature_leaf_H3K4me3	106tracks_bw/HistoneMarks/Nip_mature_leaf_H3K4me3_Rep1.rpgc.bw	mean	27	Nip_mature_leaf_H3K4me3
28	Nip_mature_leaf_H3K9me2	106tracks_bw/HistoneMarks/Nip_mature_leaf_H3K9me2_Rep1.rpgc.bw	mean	28	Nip_mature_leaf_H3K9me2
29	Nip_mature_leaf_RNAPII	106tracks_bw/HistoneMarks/Nip_mature_leaf_RNAPII_Rep1.rpgc.bw	mean	29	Nip_mature_leaf_RNAPII
