chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
1,11197,11385,188,11377,21.46,3.75708,2.24641,2.25335
1,15967,17015,1048,16047,12.88,5.93401,4.15622,4.25259
1,22595,23021,426,22723,22,6.99767,3.28581,5.23596
1,32694,32918,224,32841,10.73,7.9336,5.82293,6.11341
1,41474,41652,178,41590,15.02,9.31879,5.34162,7.40747
1,42646,42818,172,42734,11.27,8.12674,5.52343,6.29559
1,62825,63746,921,63488,30.59,14.3451,5.26438,12.1961
1,82936,83116,180,83063,12.34,9.15703,6.00659,7.26593
1,93854,94158,304,93974,23.61,9.09299,4.10175,7.20459
1,103571,104217,646,104047,24.15,25.2793,12.3755,22.7338
1,105148,105354,206,105245,20.93,14.6758,7.58211,12.5136
1,122529,122904,375,122736,24.15,25.2793,12.3755,22.7338
1,178201,178817,616,178581,36.49,16.8787,5.35556,14.6251
1,178986,179160,174,179060,28.44,8.83617,3.50642,6.96293
1,179678,180083,405,179762,18.24,6.31803,3.40972,4.6032
1,190749,191039,290,190954,9.66,7.09034,5.42186,5.31608
1,197917,198177,260,198040,18.78,9.25272,4.94526,7.34867
1,207523,207845,322,207645,18.24,17.7694,9.78913,15.4755
1,214039,214323,284,214154,8.05,5.94877,4.52451,4.26127
1,220626,220948,322,220641,20.39,4.83877,2.67386,3.24493
1,235311,235492,181,235379,13.42,7.53305,4.80501,5.73483
1,238012,238494,482,238233,13.95,4.11731,2.99033,2.58395
1,252953,253692,739,253412,27.9,30.3108,14.7023,27.6124
1,256349,256523,174,256409,16.1,5.94584,3.41961,4.26127
1,270390,271007,617,270773,18.78,12.1886,6.59369,10.1383
1,288313,288720,407,288483,17.71,11.2084,6.23595,9.20446
1,319130,319796,666,319429,25.22,27.4011,13.3375,24.7885
1,320063,320420,357,320326,12.34,8.54523,5.61525,6.6836
1,323347,323694,347,323585,19.32,15.4109,8.08309,13.215
1,326546,326809,263,326698,10.73,6.08067,4.57353,4.38081
1,327898,328395,497,328006,37.03,4.57375,2.00134,2.99685
1,345961,346239,278,346094,12.88,10.3787,7.05958,8.41042
1,394952,395156,204,395019,11.27,9.2473,6.24072,7.34654
1,395915,396299,384,396047,33.81,26.5087,10.213,23.9245
1,408962,410065,1103,409407,468.45,1058.32,238.798,1052.03
1,441321,441497,176,441442,12.88,6.95361,4.79891,5.19463
1,455339,455587,248,455485,17.71,13.4376,7.59864,11.335
1,467826,468302,476,468174,12.88,7.42301,5.10237,5.63303
1,478985,479325,340,479155,15.02,13.9559,8.1514,11.823
1,512647,512899,252,512766,30.05,8.10064,3.10497,6.27022
1,551557,551770,213,551657,13.95,8.33754,5.49693,6.48829
1,561991,562409,418,562382,16.1,5.94584,3.41961,4.26127
1,562873,563090,217,562965,29.51,8.67725,3.39034,6.80997
1,563455,563627,172,563564,13.42,6.94958,4.45459,5.19463
1,569853,570213,360,569975,12.88,7.57436,5.20103,5.77247
1,579120,579586,466,579286,19.85,14.9663,8.0221,12.7942
1,596088,596429,341,596303,18.24,17.7694,9.78913,15.4755
1,600772,601027,255,600883,17.17,11.2084,6.05708,9.20446
1,605268,605624,356,605496,14.49,11.2266,6.91934,9.22167
1,612158,612775,617,612377,57.95,78.798,29.4765,75.2482
1,624381,624894,513,624437,26.29,9.529,3.89907,7.60957
1,632117,632859,742,632342,28.44,15.1622,5.88798,12.9812
1,643866,644376,510,643963,34.88,9.2175,3.26174,7.32554
1,650503,650675,172,650554,11.27,5.86499,4.08954,4.18662
1,729381,729683,302,729522,20.39,13.9532,6.98135,11.823
1,766524,767013,489,766758,11.27,9.08008,6.13432,7.19364
1,785812,786236,424,785910,12.34,6.6833,4.44728,4.94305
1,796344,797968,1624,797531,97.12,147.809,45.2272,143.742
1,807556,808159,603,807876,22,6.99767,3.28581,5.23596
1,831913,832430,517,832176,14.49,6.17368,3.87206,4.46501
1,847449,847697,248,847553,13.95,10.2984,6.78387,8.33838
1,851390,851740,350,851499,17.17,16.2172,9.08563,13.9925
1,869607,870405,798,869796,31.12,26.2178,10.484,23.6397
1,942472,943265,793,942927,33.27,22.3614,8.02936,19.9122
1,946090,946648,558,946247,13.42,4.11731,2.88301,2.58395
1,949694,950128,434,949806,13.95,7.36723,4.87978,5.58059
1,959475,959659,184,959594,13.42,9.48722,6.02333,7.57016
1,974853,975853,1000,975672,25.22,17.6879,7.69374,15.401
1,994188,994562,374,994266,14.49,3.6454,2.58137,2.14792
1,1001838,1002694,856,1002121,34.34,17.6571,5.89042,15.3723
1,1038991,1039163,172,1039023,12.88,8.54523,5.84109,6.6836
1,1039345,1039539,194,1039424,12.34,7.42301,4.90509,5.63303
1,1055712,1055884,172,1055736,10.73,8.15019,5.96777,6.31189
1,1069129,1069563,434,1069342,19.85,9.84598,5.09137,7.91669
1,1073409,1074241,832,1073746,29.51,24.2325,10.171,21.7193
1,1086422,1086640,218,1086510,12.88,7.94909,5.4468,6.12704
1,1090244,1090774,530,1090380,21.46,9.46042,4.49281,7.54398
1,1092087,1092719,632,1092242,13.42,9.48722,6.02333,7.57016
1,1093429,1093937,508,1093580,17.17,10.4329,5.61534,8.46284
1,1116704,1116994,290,1116886,15.56,11.6638,6.97031,9.63561
1,1117304,1117624,320,1117370,20.93,11.1312,5.58804,9.13458
1,1118884,1119236,352,1119100,25.76,15.4524,6.68922,13.2534
1,1126171,1127027,856,1126707,40.25,38.0296,13.7484,35.1339
1,1135900,1136330,430,1136127,24.68,14.2104,6.27043,12.0699
1,1136558,1137180,622,1136901,25.76,8.87152,3.82241,6.99683
1,1147895,1148074,179,1148004,14.49,9.34005,5.73044,7.42855
1,1163721,1164598,877,1164236,41.85,39.3523,14.285,36.4293
1,1183981,1184318,337,1184122,17.17,13.7862,7.59287,11.6642
1,1190209,1190386,177,1190320,14.49,12.5229,7.74412,10.4595
1,1210852,1211173,321,1211015,17.71,16.2172,9.35393,13.9925
1,1216850,1217541,691,1217251,34.34,25.7873,9.41964,23.2237
1,1218208,1218619,411,1218396,22.54,16.8295,8.13875,14.5769
1,1232885,1233110,225,1233043,13.42,8.33754,5.29965,6.48829
1,1238823,1239509,686,1239037,18.24,13.8675,7.40285,11.7442
1,1242294,1242914,620,1242545,20.93,16.3639,8.60576,14.1298
1,1252449,1252945,496,1252779,35.42,37.9343,15.7835,35.0428
1,1291385,1291614,229,1291467,11.81,7.74501,5.50905,5.93438
1,1295621,1296333,712,1295791,19.85,13.1909,6.95142,11.0958
1,1302075,1302253,178,1302121,15.56,7.78444,4.6261,5.97189
1,1310391,1310899,508,1310631,28.98,15.1622,5.9953,12.9812
1,1314633,1315013,380,1314857,18.78,17.7694,10.0621,15.4755
1,1320719,1320891,172,1320832,9.66,7.09034,5.42186,5.31608
1,1321834,1322010,176,1321885,9.12,6.95302,5.06111,5.19463
1,1328596,1329547,951,1329068,60.64,45.0082,10.9206,41.9645
